Fecha,Categoria,Producto,Region,Metodo_Pago,Cantidad,Precio_Unitario,Costo_Unitario,Descuento,Venta_Total,Costo_Total,Beneficio
2023-01-01,Juguetes,Peluche,Este,Efectivo,8,282.29,178.41,0.2,1806.67,1427.29,379.38
2023-01-01,Hogar,Lámpara,Sur,Transferencia,6,66.93,42.19,0.0,401.55,253.15,148.41
2023-01-01,Deportes,Pesas,Centro,PayPal,6,260.32,134.0,0.2,1249.53,803.98,445.54
2023-01-01,Hogar,Lámpara,Oeste,Transferencia,5,240.63,126.18,0.1,1082.85,630.92,451.93
2023-01-01,Ropa,Pantalón,Este,Transferencia,4,123.49,69.43,0.15,419.85,277.74,142.11
2023-01-01,Ropa,Zapatos,Este,Tarjeta de Crédito,7,256.08,135.74,0.1,1613.28,950.18,663.1
2023-01-01,Hogar,Cama,Norte,Efectivo,2,220.91,118.56,0.1,397.63,237.12,160.51
2023-01-01,Electrónica,Auriculares,Norte,Efectivo,6,273.75,104.72,0.2,1314.0,628.34,685.66
2023-01-01,Juguetes,Coche RC,Sur,Efectivo,5,308.29,107.36,0.05,1464.38,536.81,927.57
2023-01-01,Ropa,Pantalón,Oeste,PayPal,7,52.6,37.38,0.0,368.18,261.68,106.5
2023-01-01,Juguetes,Lego,Norte,Efectivo,3,175.45,67.02,0.0,526.34,201.07,325.27
2023-01-02,Electrónica,Auriculares,Oeste,Efectivo,5,547.79,315.54,0.0,2738.94,1577.7,1161.24
2023-01-02,Juguetes,Puzzle,Centro,Transferencia,2,257.31,138.01,0.0,514.62,276.01,238.6
2023-01-02,Ropa,Zapatos,Norte,Efectivo,6,157.76,93.03,0.0,946.54,558.21,388.33
2023-01-02,Electrónica,Laptop,Este,Efectivo,7,403.02,200.1,0.0,2821.11,1400.69,1420.42
2023-01-02,Hogar,Lámpara,Este,Transferencia,10,104.44,44.29,0.05,992.18,442.87,549.31
2023-01-02,Hogar,Silla,Norte,Tarjeta de Crédito,6,166.28,85.27,0.15,848.01,511.65,336.36
2023-01-02,Juguetes,Muñeca,Norte,Tarjeta de Crédito,4,125.53,48.65,0.15,426.81,194.59,232.22
2023-01-02,Ropa,Gorra,Este,Efectivo,6,195.56,97.06,0.1,1056.04,582.39,473.66
2023-01-02,Ropa,Camiseta,Centro,Efectivo,1,143.55,97.73,0.0,143.55,97.73,45.81
2023-01-02,Hogar,Sofá,Oeste,Tarjeta de Crédito,2,12.83,4.72,0.05,24.37,9.45,14.92
2023-01-02,Juguetes,Muñeca,Este,Tarjeta de Crédito,7,151.8,77.86,0.0,1062.59,545.05,517.53
2023-01-02,Ropa,Pantalón,Norte,Transferencia,2,263.69,180.38,0.0,527.38,360.77,166.61
2023-01-03,Deportes,Cinta de correr,Centro,Efectivo,8,85.34,30.46,0.1,614.48,243.68,370.8
